Infinitiv,English,Trennbarpräfix,Untrennbarpräfix,Verbstamm,Augenblicke,Notes
ab.hängen,,ab,,,,
ab.holen,,ab,,,,
ab.nehmen,lose weight,ab,,,M4,
an.fangen,to begin; to start,an,,fang,M5,
an.hören,to listen to,an,,hör,M5,
an.kommen,to arrive,an,,komm,M5,
an.rufen,to telephone,an,,ruf,M5,
an.sprechen,,an,,,,
an.ziehen (sich),dress,an,,,M4,
arbeiten,to work,,,arbeit,M2,
auf.geben,,auf,,,,
auf.hören,,auf,,,,
auf.schreiben,Write down,auf,,,M4,
auf.stehen,,auf,,,,
auf.wachen,,auf,,,,
aus.geben,,aus,,,,
aus.gehen,,aus,,,,
aus.machen,,aus,,,,
aus.sehen,,aus,,,,
aus.ziehen (sich),undress,aus,,,M4,
beeinflussen,to influence,,be,beeinfluss,M5,
benutzen,use; take,,be,,M2,
beschreiben,describe,,be,,M2,
besichtigen,sightsee,,be,besichtig,M5,
besprechen,discuss,,be,,M4,
bestellen,to order; to buy,,be,,,
besuchen,to visit,,be,besuch,M5,
bewegen (sich),to move,,be,,M4,
bleiben,to stay,,,bleib,M4,
brauchen,to need,,,brauch,M5,
buchstabieren,to spell,,,,M1,
checken,to check,,,,,
danken,to thank,,,dank,M5,dative verb
dauern,to last; take,,,dauern,M5,(a certain amount of time)
denken,to think,,,,M4,
diskutieren,to discuss,,,,,
duschen (sich),to wash (oneself),,,,M4,
ein.kaufen,to shop,ein,,kauf,M5,
ein.laden,to invite,ein,,,,
ein.schlafen,to sleep,ein,,,,
entdecken,to discover,,ent,entdeck,M5,
entspannen (sich),to relax,,ent,,M4,
entwerfen,to design,,ent,entwerf,M5,
entwickeln,to develop,,ent,entwickeln,M5,
erfahren,experience,,er,,M4,
erfinden,to invent,,er,erfind,M5,
erholen (sich),to recover,,er,,M4,
erzählen,to tell/share,,er,,,
essen,to eat,,,,,
fahren,to drive,,,fahr,M2,
fallen,to fall,,,,,
fern.sehen,to watch tv,,,,,
finden,to find,,,,,
fliegen,to fly,,,flieg,M5,
forschen,to research,,,forsch,M5,
fotografieren,to photograph,,,fotografier,M5,
fragen,to ask,,,,,
geben,to give,,,geb,M5,dative verb
gehen,to go,,,geh,M5,
gewinnen,to win,,,gewinn,M5,
glauben,believe/think/feel,,,,,
haben,have,,,hab,M2,
heiraten,marry,,,,,
heißen,call/name,,,heiß,M1,
helfen,help/assist,,,,,
herunterladen,download,,herunter,lad,M5,
hoch.laden,upload,,hoch,lad,M5,
interessieren,interest,,,,M2,
joggen,jog,,,,,
kaufen,to buy,,,kauf,M5,
kennen,to know a person or place,,,kenn,M5,
kennen.lernen,,kennen,,,,
kommen,to come,,,komm,M1,
können,can/may,,,könn,M2,Modalverb
laufen,to run,,,lauf,M2,
leben,to live,,,leb,M5,
lernen,learn,,,,M2,
lesen,to read,,,les,M1,
lieben,love,,,,,
los.fahren,go;leave,los,,,,
machen,to do; to make,,,mach,M1,
messen,to measure,,,mess,M5,
mit.bringen,bring,mit,,,,
mit.kommen,to come with,mit,,komm,M5,
mit.nehmen,bring/take,mit,,,,
müssen,must,,,,M2,Modalverb
nehmen,bring/take,,,,,
öffnen,open,,,,,
passen,fit/suit,,,,M4,
passieren,to happen; to occur,,,passier,M5,
rasieren (sich),shave,,,,,
reden,talk/speak/discuss,,,,,
regnen,rain,,,,,
reisen,travel,,,reis,M2,
reiten,ride a horse,,,,,
sagen,say/tell/know,,,,M1,
scheinen,shine,,,,,
schminken (sich),,,,,M4,
schneien,snow,,,,,
schreiben,to write,,,schreib,M1,
schwimmen,to swim,,,schwimm,M4,
segeln,sail,,,,,
sehen,to see,,,seh,M2,
sein,to be,,,sein,M1,
sollen,should,,,,M2,Modalverb
spielen,play,,,,M1,
sprechen,to speak,,,sprech,M1,
stehen,stand,,,,M4,
stellen,provide;make;place,,,,,
sterben,to die,,,sterb,M5,
studieren,to study,,,studier,M2,
suchen,search/seek/find,,,,,
tanzen,dance,,,,,
tragen,wear,,,,,
trainieren,train,,,,M4,
treffen,meet,,,,M2,
treiben,drive,,,,M4,
trinken,drink,,,,,
tun,do;work;take,,,,,
verbessern,to better; to improve,,ver,verbessern,M5,
verdienen,earn;deserve,,ver,,,
vergleichen,compare,,ver,,M4,
verkaufen,sell,,ver,,,
verlieben (sich),fall in love,,ver,,,
vermessen,to measure; survey,,ver,vermess,M5,
verstehen,understand,,ver,,M2,
versuchen,try,,ver,,M4,
wandern,hike,,,,,
warten,wait,,,,,
werden,be;will;become,,,,M2,
wissen,to know (a fact),,,wiss,M2,
wohnen,to live,,,wohn,M1,
wollen,want,,,,M2,Modalverb
zeigen,show,,,,M4,
zu.nehmen,gain weight,,zu,,M4,
zurück.bringen,to bring (something) back,,zu,rückbring,M5,
zusammen.leben,cohabitate,zusammen,,,,
